hit_unique_keyword,hit_unique_score,flop_unique_keyword,flop_unique_score
mumbai,0.0125618940711162,princess,0.009143850942384
music,0.0350453394955022,problems,0.0088401236320993
musical,0.0144034179975077,quest,0.0088743539217961
musician,0.0157128196336448,recep,0.0150506357835332
musicians,0.0106329855491497,relationships,0.0160921727830804
mysterious,0.0122739200586423,rescue,0.0153915372757907
navy,0.011442253944306,rise,0.0075100842787496
nazis,0.0143406718588834,roy,0.0150528353619771
nev,0.010185664756721,schumer,0.0155064294633033
ninja,0.0108649384437769,sea,0.0185988693631781
office,0.0083823288755565,senior,0.0179659473689323
officer,0.0139491083644659,serial,0.0113004053176636
operatives,0.0090783917940614,serial killer,0.0097775289482027
painter,0.0106431073247144,shark,0.0455350885976366
palestinian,0.013488423580201,sharks,0.0320079648567503
player,0.0119632465659835,son,0.0161436546934371
players,0.0128359438695393,special forces,0.0202564056703082
political,0.0083701142344777,spirit,0.0086464771067905
portrait,0.013305120821222,stars,0.0057760949474892
prison,0.0237652381419493,storms,0.0127202322865669
queen,0.0135246585901858,student,0.0112212275925581
recession,0.0082645862758893,students,0.0378923963078509
reich,0.0107242926232182,summer,0.0105056113708685
remote,0.0109030925462281,surf,0.017296604957691
resistance,0.0150843006387906,survivors,0.0141651805712632
returns,0.0063153650473558,ta,0.0150590198516974
revenge,0.0092402125694744,technology,0.0087607206675453
robberies,0.01159560305774,theatrical,0.0152518681668673
rock,0.0191283409756916,thief,0.0118304272906265
romantic,0.0079549622526461,todd,0.014931116799805
sakura,0.0100158089592496,treasure,0.014728606841447
sam,0.0087007720657085,trip,0.0154215723755129
shouya,0.0100158089592496,undead,0.0201104616257359
singer,0.0115048718749784,vacation,0.00990632919739
slavery,0.0083288041939407,veteran,0.0158973144268286
small,0.0110632062242,virginity,0.0148256613923066
soldier,0.0128722719172018,virus,0.0241225948092123
sonic,0.0196382641349952,vivien,0.0092563765672887
stand special,0.0167806970036664,water,0.0165128482586229
start,0.0096292014312524,weather,0.0130037973629418
states,0.0123096090483937,wedding,0.0205237104338553
strange,0.0108051577414629,weekend,0.0111120706791425
stratos,0.0125105441969522,zombies,0.0273389407837739
struggles,0.0077143683384243,,
success,0.0111217549488217,,
superman,0.0267982763222481,,
supernatural,0.0086398361821456,,
tala,0.0150895242727219,,
teacher,0.0168733581189845,,
terrifying,0.0116123447017868,,
terrorists,0.0144215087149417,,
topics,0.0149779601328812,,
town,0.0116936584334178,,
truth,0.009314757728778,,
turkey,0.0229105136971517,,
turkish,0.0210389879984483,,
undercover,0.0138761672018398,,
united,0.0118402358465059,,
united states,0.012705478534344,,
universe,0.0084505059463307,,
vietnam,0.0139932617848369,,
village,0.0293718844682341,,
violent,0.0122192546263428,,
voldemort,0.0134941187408349,,
wakes,0.0102539480218882,,
warrior,0.0158451658712657,,
warriors,0.0183234023672497,,
wayne,0.0187400053694569,,
