topic,rank,keyword,score
11,5,fight,0.012418309974615696
11,6,championship,0.011090505310236478
11,7,police,0.010557821349442916
11,8,crime,0.010191673287016234
11,9,gangster,0.010047477265038187
11,10,master,0.009103058912168024
12,1,zombies,0.022686663300350643
12,2,horror,0.01469765649696407
12,3,friends,0.014172089456268716
12,4,zombie,0.011871731951932854
12,5,school,0.011603586525296406
12,6,save,0.010108703264308898
12,7,fight,0.009172875303810198
12,8,evil,0.008985714925438456
12,9,flesh,0.008064634910121169
12,10,detention,0.007836796549843055
13,1,father,0.025871975391001365
13,2,son,0.01614365469343711
13,3,parents,0.012963016878814274
13,4,decides,0.0111311251955031
13,5,birthday,0.011008407887887426
13,6,summer,0.010505611370868502
13,7,mom,0.010499507013552381
13,8,little,0.010320596233858772
13,9,mother,0.009897382294950427
13,10,brothers,0.00984205353825155
14,1,war,0.05215632387634398
14,2,soldiers,0.037370610482198044
14,3,enemy,0.02770531053173073
14,4,german,0.025734661241716226
14,5,world war,0.024957640707658057
14,6,nazi,0.022835044362534758
14,7,lines,0.01906297221403508
14,8,battle,0.018926566391689367
14,9,war ii,0.017863508794736006
14,10,mission,0.017760263203491927
15,1,school,0.044269740111981655
15,2,high school,0.029273600797950376
15,3,friends,0.022765909151133912
15,4,senior,0.017965947368932377
15,5,college,0.017896400582488176
15,6,surf,0.017296604957691097
15,7,best,0.015878631423008403
15,8,trip,0.015421572375512923
15,9,party,0.01510232410791228
15,10,virginity,0.014825661392306653
16,1,love,0.04264259715571695
16,2,relationships,0.016092172783080425
16,3,relationship,0.0160595128131877
16,4,roy,0.0150528353619771
16,5,old,0.014452213988884832
16,6,married,0.013505665713835173
16,7,falls,0.012538463752277048
16,8,student,0.009622807174523644
16,9,past,0.009480005478992271
16,10,vivien,0.009256376567288765
17,1,earth,0.03417667993692926
17,2,massive,0.01639975357827204
17,3,asteroid,0.015449309464669906
17,4,disaster,0.015033107446749369
17,5,planet,0.014990148264772494
17,6,ice,0.014635768175334345
17,7,city,0.013184477710516646
17,8,weather,0.013003797362941844
17,9,storms,0.01272023228656694
17,10,dr,0.012643499207339218
18,1,shark,0.04553508859763669
18,2,sharks,0.0320079648567503
18,3,island,0.019921165323694166
18,4,ocean,0.019814454435131138
18,5,sea,0.01859886936317817
18,6,giant,0.017410475052037556
18,7,water,0.016512848258622963
18,8,prehistoric,0.01530959899363443
18,9,creature,0.014253824092095465
18,10,crocodile,0.012788274353706995
19,1,students,0.03789239630785093
19,2,college,0.03344419216464982
19,3,school,0.02158168775058606
19,4,college students,0.0149236228782218
19,5,murders,0.013910316163708485
19,6,killer,0.01156964810473683
19,7,evil,0.01151494855606512
19,8,deaths,0.011371941229624446
19,9,student,0.011221227592558178
19,10,weekend,0.011112070679142515
20,1,special,0.02031989646327771
20,2,comedian,0.01663044468522067
20,3,outrageous,0.01663044468522067
20,4,stand,0.016342981047169348
20,5,schumer,0.015506429463303302
20,6,ta,0.01505901985169747
20,7,comedy,0.01287047057937639
20,8,fame,0.012606746926893776
20,9,guests,0.012090637170932922
20,10,brent,0.011294264888773102
21,1,special,0.02318619373263276
21,2,military,0.02163550833040535
21,3,war,0.02158697946469984
21,4,special forces,0.020256405670308238
21,5,terrorist,0.01910489766593052
21,6,mission,0.018293833342652627
21,7,veteran,0.01589731442682866
21,8,gun,0.01589731442682866
21,9,mercenaries,0.015640153622858994
21,10,rescue,0.0153915372757907
22,1,zombie,0.028612455920718247
22,2,zombies,0.02733894078377396
22,3,infected,0.025104894799618846
22,4,virus,0.02412259480921232
22,5,undead,0.02011046162573598
22,6,soldiers,0.0152415696959493
22,7,base,0.015177622527968752
22,8,population,0.01483195664146516
22,9,military,0.014201406994913504
22,10,survivors,0.014165180571263264
23,1,recep,0.015050635783533224
23,2,france,0.010938443787676798
23,3,trip,0.01073526138110866
23,4,gigolo,0.009446935640032626
23,5,patrick,0.008895411415286224
23,6,arturo,0.00876342052319755
23,7,naples,0.00876342052319755
23,8,driver,0.008589860884738556
23,9,filippo,0.008456552459800305
23,10,parisian,0.008105372857275897
24,1,gantz,0.02612945439965891
24,2,detective,0.022644497410044238
24,3,murder,0.0192789786140833
24,4,assassin,0.018686643967468015
24,5,kill,0.016737982150668386
24,6,assassins,0.016514779410682058
24,7,baron,0.015251868166867376
24,8,theatrical,0.015251868166867376
24,9,todd,0.014931116799805091
24,10,carmen,0.014653299894252767
