imdb_id,title,topic,hit_score,umap_x,umap_y,cluster,keywords
tt25403636,Payback: Money and Power,5,20.44744162193108,-2.8279471,9.254639,0,"eun, friend, self, li, soo"
tt22001792,From Me to You: Kimi ni Todoke,9,25.505041579799443,-3.9671156,9.776466,3,"school, students, elite, university, student"
tt15379396,Ronja the Robber's Daughter,7,22.971378503781317,-3.5533707,12.923871,6,"spy, 1995, ador, citadel, tensions"
tt14852808,The Watcher,4,25.596091918021685,-6.1274896,11.092977,1,"medical, artem, surgeon, doctor, siri"
tt22297684,Class,9,24.97265552970988,-3.6952777,10.131785,3,"school, students, elite, university, student"
tt23651372,The Iron Heart,7,18.6503774748464,-3.4768643,13.399598,6,"spy, 1995, ador, citadel, tensions"
tt22797712,Strange Tales of Tang Dynasty,0,25.371423612289423,-6.2714844,13.293079,1,"detective, murder, case, police, cases"
tt21105088,Golden Boy,3,21.177502979362835,-5.356646,9.914928,0,"marriage, love, husband, meets, affair"
tt23931190,Belgravia: The Next Chapter,3,21.100188400941,-4.8386397,10.750164,0,"marriage, love, husband, meets, affair"
tt15483276,Harlan Coben's Shelter,-1,24.45305339665761,-6.7631574,12.516423,-1,
tt0808491,The Swarm,1,23.228852769216736,-0.4751615,10.844045,4,"earth, world, alien, love, human"
tt24224910,The Interest of Love,3,20.10591719354785,-4.694098,9.665474,0,"marriage, love, husband, meets, affair"
tt21814948,The End of Love,-1,16.793840232265886,-4.711383,9.009342,-1,
tt22325164,La promesa,2,11.395149291036024,-6.7089763,9.500932,5,"love, father, family, daughter, relationship"
tt21108774,The Buccaneers,-1,24.96732632295109,-4.5666947,10.846794,-1,
tt22754212,Citadel: Diana,7,23.979820818093835,-3.352584,13.363595,6,"spy, 1995, ador, citadel, tensions"
tt25503524,Faltu,-1,7.664207467073562,-4.271609,10.441275,-1,
tt23061466,"Blood, Sex & Royalty",-1,16.93398774869721,-3.798194,11.134984,-1,
tt23159124,Mujeres Asesinas,-1,15.76891068273486,-1.9458187,12.009965,-1,
tt23846868,Rabb Se Hai Dua,-1,7.645568235513502,-5.9225273,10.648534,-1,
tt25503742,Teri Meri Doriyaann,3,9.568324789642276,-5.4358754,9.56188,0,"marriage, love, husband, meets, affair"
tt25031242,Against the Ropes,2,20.14910475121588,-6.1346483,8.948262,5,"love, father, family, daughter, relationship"
tt24059730,Batang Quiapo,7,7.237565642765688,-3.5001209,13.090443,6,"spy, 1995, ador, citadel, tensions"
tt18273742,Sky High: The Series,7,21.58890931641142,-3.6768875,12.989266,6,"spy, 1995, ador, citadel, tensions"
tt23747008,Far from Home,9,15.091571600271974,-3.594512,9.921675,3,"school, students, elite, university, student"
tt20565150,Triptych,4,21.1689068664854,-6.5077543,11.33305,1,"medical, artem, surgeon, doctor, siri"
tt24364150,Gangs of Oslo,10,23.776818380780725,-4.576365,12.770985,1,"drug, difficult, kovalev, soccer, gang"
tt26471649,The Killing Vote,0,23.166903784450422,-6.2712636,13.112193,1,"detective, murder, case, police, cases"
tt19724076,A Girl and an Astronaut,1,18.97220129318874,-0.75614005,10.114087,4,"earth, world, alien, love, human"
tt19723558,Detective Forst,0,15.998408824266791,-6.122103,13.222447,1,"detective, murder, case, police, cases"
tt22099034,Shanty Town,10,15.996230824962293,-4.534672,12.412216,1,"drug, difficult, kovalev, soccer, gang"
tt21206964,In Love All Over Again,3,15.669447153977368,-4.911315,9.548219,0,"marriage, love, husband, meets, affair"
tt26085372,HeartBeat,6,25.452498244606517,-1.6612846,9.532229,4,"vampire, vampires, young, half, min"
tt26393379,Volver a caer,3,20.97003247993492,-5.0560136,9.639222,0,"marriage, love, husband, meets, affair"
tt16163746,Who Were We Running From?,11,22.989222275071445,-6.3272734,11.9850645,1,"secrets, mother, family, lucia, deadly"
tt27925979,Elas por Elas,2,17.05481665903092,-5.610689,8.619171,5,"love, father, family, daughter, relationship"
tt22188304,Perdona nuestros pecados,2,8.096894817538052,-6.4314966,9.003662,5,"love, father, family, daughter, relationship"
tt26676489,The Madness,-1,22.248017845984013,-5.8759103,13.155743,-1,
tt26767508,The Frog,-1,22.84571478277839,-6.2889996,11.630907,-1,
tt22188282,El amor invencible,2,13.367617823056088,-6.0349054,8.780368,5,"love, father, family, daughter, relationship"
tt26862142,The Last Frontier,-1,20.57077252108684,-4.986051,12.685864,-1,
tt20477492,Muted,0,18.561878604763557,-6.219181,12.85148,1,"detective, murder, case, police, cases"
tt16277846,No Escape,-1,19.61363114359078,-5.399629,8.617354,-1,
tt14371926,Apples Never Fall,-1,23.569629017390923,-6.248604,10.954265,-1,
tt17042618,Montecristo,-1,13.313207840691184,-3.5288856,12.880346,-1,
tt18831118,Obsession,4,15.517869926055056,-5.237636,11.09123,1,"medical, artem, surgeon, doctor, siri"
tt26693681,The Impossible Heir,-1,17.220792237502835,-3.5489426,11.432046,-1,
tt27535062,City of God: The Fight Rages On,10,25.0921423834562,-4.4209766,12.615158,1,"drug, difficult, kovalev, soccer, gang"
tt27369122,The Couple Next Door,11,17.12968563477219,-5.649866,11.512608,1,"secrets, mother, family, lucia, deadly"
tt27505298,Desperate Lies,-1,17.33451156571476,-5.5774837,10.583892,-1,
tt15845610,A Man in Full,-1,23.186866285631943,-5.190687,10.180665,-1,
tt24133138,Nightsleeper,-1,21.027619776699154,-3.9984071,11.05565,-1,
tt27787158,1992,-1,20.092784803766424,-6.538965,13.109768,-1,
tt18926116,Fear the Walking Dead: Dead in the Water,-1,20.948848471219414,-1.3271121,11.723499,-1,
tt27763561,Hierarchy,9,20.23272124729289,-3.5892591,9.926625,3,"school, students, elite, university, student"
tt26672404,Butterfly,7,21.776783406571905,-3.2042167,13.429407,6,"spy, 1995, ador, citadel, tensions"
tt27787160,The Surrogacy,-1,14.32848105639082,-5.281282,10.057299,-1,
tt27921614,Red Swan,5,22.13291380950234,-2.9192662,9.16519,0,"eun, friend, self, li, soo"
tt14494938,Fake Profile,3,19.231282556529223,-4.5013385,9.479968,0,"marriage, love, husband, meets, affair"
tt27843828,Gangs of Galicia,-1,23.132574118382774,-4.915382,12.41943,-1,
tt27951663,Fatal Seduction,4,21.78215653102508,-5.7560925,11.322662,1,"medical, artem, surgeon, doctor, siri"
tt28226395,My Magic Closet,6,23.95427881877809,-1.7985464,10.005187,4,"vampire, vampires, young, half, min"
tt15532306,Cruel Intentions,9,21.61434590627756,-3.7639384,9.924604,3,"school, students, elite, university, student"
tt13355880,Everybody Loves Diamonds,10,23.127870051060345,-4.651366,12.968968,1,"drug, difficult, kovalev, soccer, gang"
tt34476674,Hound's Hill,-1,16.89873597446377,-6.2548366,12.00076,-1,
tt28298539,Breathless,4,18.51769000946318,-4.425683,11.258513,1,"medical, artem, surgeon, doctor, siri"
tt32321928,"Betty la Fea, the Story Continues",2,15.346872778879684,-5.8377714,8.658669,5,"love, father, family, daughter, relationship"
tt28288478,The Cage,7,22.14887154534348,-3.0301342,13.1124,6,"spy, 1995, ador, citadel, tensions"
tt27787857,Thursday's Widows,11,19.21396509683276,-6.0338,11.534998,1,"secrets, mother, family, lucia, deadly"
tt36056620,S Line,6,19.353017766596334,-1.7016923,9.909838,4,"vampire, vampires, young, half, min"
tt27613238,Minas de Pasión,2,8.244682141235227,-6.3399787,9.050997,5,"love, father, family, daughter, relationship"
tt28228082,The Stolen Girl,11,20.83714093989968,-6.5275917,11.393011,1,"secrets, mother, family, lucia, deadly"
tt26456880,One Trillion Dollars,-1,14.003643237180096,-5.10377,10.149923,-1,
tt29195231,Pact of Silence,-1,21.869309950433376,-6.2040715,11.414987,-1,
tt29103836,Beyond Goodbye,3,23.59223090659132,-4.9420767,10.173467,0,"marriage, love, husband, meets, affair"
tt28019928,Suburræterna,-1,16.441801108815852,-4.2655835,12.337633,-1,
tt15441086,Brigands: The Quest for Gold,-1,24.319809162531776,-5.062149,11.238526,-1,
tt27591984,I Woke Up a Vampire,6,20.93310152015041,-1.5067447,9.745274,4,"vampire, vampires, young, half, min"
tt29386497,Bank Under Siege,7,25.63770794384744,-3.6526294,13.482096,6,"spy, 1995, ador, citadel, tensions"
