imdb_id,title,topic,hit_score,umap_x,umap_y,cluster,keywords
tt4192812,Unforgotten,3,45.21201471706699,15.487849,11.695414,1,"police, cases, detective, serial, dexter"
tt4158110,Mr. Robot,8,59.48380088060096,14.719864,10.405819,1,"family, relu, underworld, mafia, boss"
tt4445154,Deutschland,5,40.294548033128194,13.10382,9.531963,0,"war, political, world war, agent, war ii"
tt2548418,Jonathan Strange & Mr Norrell,1,44.74620211753497,10.828138,8.438258,2,"time, mysterious, human, secret, discover"
tt4122068,Humans,1,40.4141671569085,10.186192,8.104333,2,"time, mysterious, human, secret, discover"
tt4580372,Merlí,0,45.4566692988791,15.57707,6.819881,3,"family, school, love, job, young"
tt4742876,TVF Pitchers,0,56.77283502079228,16.510986,8.049307,3,"family, school, love, job, young"
tt2492296,Show Me a Hero,-1,42.57154428179191,14.494921,10.92967,-1,
tt4680240,Club de Cuervos,0,41.86440704543228,15.708771,7.735048,3,"family, school, love, job, young"
tt4179452,The Last Kingdom,10,58.68459207531175,12.441209,9.652419,0,"century, süleyman, king, epic, war"
tt2707408,Narcos,7,61.54209008928044,13.981053,10.695234,1,"drug, crime, mob, based, look"
tt4452630,Code Black,9,42.77881462937477,14.215541,8.280768,3,"doctor, hospital, medicine, staff, medical"
tt3230854,The Expanse,1,53.5244266285172,9.995143,8.002617,2,"time, mysterious, human, secret, discover"
tt4912412,Sun's Daughters,-1,43.77257843037147,14.4732895,9.194745,-1,
tt4277922,Call My Agent!,0,47.066503370221945,16.661667,7.941436,3,"family, school, love, job, young"
tt5141800,Nirvana in Fire,-1,40.23621424804831,13.363886,7.877016,-1,
tt5011816,Sneaky Pete,8,44.1830962760779,14.786763,10.532698,1,"family, relu, underworld, mafia, boss"
tt4635276,Master of None,0,40.37514822715444,16.38603,8.075732,3,"family, school, love, job, young"
tt5099020,Golden Life,8,43.889025308753546,14.875676,10.349937,1,"family, relu, underworld, mafia, boss"
tt4687882,Patriot,5,45.17830976263796,13.095133,10.609459,0,"war, political, world war, agent, war ii"
tt4254242,The Magicians,1,40.764592058493925,10.636839,8.682521,2,"time, mysterious, human, secret, discover"
tt3561180,Trapped,4,43.00280932559336,16.141281,11.035589,1,"murder, secrets, young, town, accused"
tt4343334,Poyraz Karayel,2,44.812254406192565,12.726236,11.013794,1,"love, mafia, spy, criminal, young"
tt5288312,SKAM,6,53.02523836020582,14.611669,7.5038157,3,"school, love, young, old, lena"
tt4320258,Resurrection: Ertugrul,10,50.32063144971925,12.365199,9.581797,0,"century, süleyman, king, epic, war"
tt4565380,Fauda,5,44.88960890150766,12.831423,10.395972,0,"war, political, world war, agent, war ii"
tt5994364,Goblin,1,48.78961178277418,10.96401,7.739933,2,"time, mysterious, human, secret, discover"
tt5024912,Insecure,-1,44.17077855490118,15.744972,8.404355,-1,
tt5905354,Norsemen,-1,45.58797141333783,12.082364,9.238977,-1,
tt6682754,Jean-Claude Van Johnson,2,41.02239088286596,12.433442,11.433703,1,"love, mafia, spy, criminal, young"
tt5651844,Travelers,1,50.58562865264887,9.849984,7.8781214,2,"time, mysterious, human, secret, discover"
tt5290382,MINDHUNTER,3,57.35798207450917,14.786224,11.76084,1,"police, cases, detective, serial, dexter"
tt5768632,Love Doesn't Understand Words,0,48.03158359785271,16.288027,7.615396,3,"family, school, love, job, young"
tt6263222,Strong Woman Do Bong-Soon,2,42.49704104112477,11.58749,10.269711,1,"love, mafia, spy, criminal, young"
tt2261227,Altered Carbon,1,41.4200736134568,10.3996105,7.791336,2,"time, mysterious, human, secret, discover"
tt4635282,The OA,1,48.00622959459008,10.337805,8.146506,2,"time, mysterious, human, secret, discover"
tt6162588,Brave and Beautiful,-1,43.65590239692181,14.77325,9.455491,-1,
tt6051216,Insider,2,48.65933490645269,12.115117,10.653498,1,"love, mafia, spy, criminal, young"
tt5607976,His Dark Materials,1,43.827625513179306,10.455867,8.508764,2,"time, mysterious, human, secret, discover"
tt6157148,Weightlifting Fairy Kim Bok-joo,0,46.91560536624183,15.607195,6.774991,3,"family, school, love, job, young"
tt5761478,Harlots,-1,40.58254938222969,13.964048,8.894735,-1,
tt6132720,Wounded Love,5,43.28660777960144,13.168204,9.64756,0,"war, political, world war, agent, war ii"
tt5574940,The New Edition Story,0,41.515121867752505,15.387475,8.677371,3,"family, school, love, job, young"
tt5834204,The Handmaid's Tale,1,44.061887814811975,10.35693,7.804808,2,"time, mysterious, human, secret, discover"
tt1984119,FEUD,10,43.146858311087,12.189314,8.698512,0,"century, süleyman, king, epic, war"
tt5071412,Ozark,8,51.77573206144965,15.033123,10.195127,1,"family, relu, underworld, mafia, boss"
tt6724368,Phi,-1,46.67132025236757,15.238705,9.275767,-1,
tt5770786,GLOW,0,44.52591335343908,15.960872,6.798138,3,"family, school, love, job, young"
tt5753856,Dark,4,63.25161471401699,11.125537,9.058343,1,"murder, secrets, young, town, accused"
tt6461346,Stranger,-1,43.70523972243037,15.703776,11.443765,-1,
tt2649356,Sharp Objects,4,42.25290821843999,16.05461,10.755031,1,"murder, secrets, young, town, accused"
tt6611916,Kingdom,1,52.50472559665173,11.68685,7.792545,2,"time, mysterious, human, secret, discover"
tt5788792,The Marvelous Mrs. Maisel,0,48.15368454681641,16.407856,7.787955,3,"family, school, love, job, young"
tt6824234,Fight For My Way,0,43.08877982874608,15.709888,6.6622543,3,"family, school, love, job, young"
tt5421602,Anne with an E,6,51.64159347767359,14.754483,8.578402,3,"school, love, young, old, lena"
tt6256484,While You Were Sleeping,1,46.388401257126645,10.813774,7.6345687,2,"time, mysterious, human, secret, discover"
tt6226232,Young Sheldon,9,51.88370298566999,15.512985,8.10581,3,"doctor, hospital, medicine, staff, medical"
tt4604612,The Alienist,3,41.17796801159469,15.429595,11.156712,1,"police, cases, detective, serial, dexter"
tt5180504,The Witcher,2,42.90704509658853,12.216986,10.608534,1,"love, mafia, spy, criminal, young"
tt6315640,Atypical,0,50.79534250907992,15.393961,7.7424235,3,"family, school, love, job, young"
tt5691552,The Orville,1,47.50593834041702,9.611138,7.9369974,2,"time, mysterious, human, secret, discover"
tt1869454,Good Omens,1,52.03009152844979,10.726197,8.111691,2,"time, mysterious, human, secret, discover"
tt6816780,Little Boy Blue,3,41.17784972526475,15.257539,11.306247,1,"police, cases, detective, serial, dexter"
