imdb_id,title,topic,cluster,umap_x,umap_y,hit_score
tt1632701,Suits,-1,-1,0.0492,-0.0666,50.16349492359756
tt2357547,Marvel's Jessica Jones,1,2,0.1086,-0.0146,41.17135235808927
tt1833285,Boss,5,0,0.0297,-0.0696,44.65929344091845
tt1795096,Behzat Ç.: An Ankara Policeman,5,0,0.0685,-0.1462,51.92619901219645
tt1693592,Vera,3,1,0.0772,-0.0461,40.32163457109634
tt1843230,Once Upon a Time,1,2,0.0077,0.038,45.55830472778768
tt1832979,Hart of Dixie,9,3,0.0476,-0.0157,46.65634839411401
tt1830617,Grimm,-1,-1,0.0354,-0.0575,49.43678284355057
tt1837642,Revenge,-1,-1,0.0327,-0.0009,42.86469312776416
tt1839683,Awake,11,2,-0.0115,-0.0203,40.50259836692
tt1703925,Wilfred,0,3,0.0549,-0.0119,47.42999329462102
tt1778108,The Hour,5,0,0.0849,-0.1014,40.391023236576345
tt1983079,Call the Midwife,-1,-1,0.041,0.0078,48.03482957123844
tt1663676,Awkward.,0,3,0.0806,-0.0232,41.39308694061371
tt1784141,Time Goes By,5,0,0.0149,-0.0401,40.86000260346109
tt2243973,Hannibal,3,1,0.0586,-0.0609,59.19220762742543
tt1242773,Crime novel - The series,2,1,0.0342,-0.0393,43.15593791161494
tt1321865,Carlos,5,0,0.0241,-0.0191,40.740279880125925
tt2017109,Banshee,4,1,-0.0181,-0.026,55.386175689550285
tt1830379,Top Boy,7,1,0.0774,-0.0555,50.68353475329593
tt2085059,Black Mirror,-1,-1,0.0564,-0.0193,51.22366322246956
tt2050064,North South,2,1,0.0298,-0.0904,41.57457327798669
tt2126154,This Is England '88,0,3,0.0261,-0.018,44.60814542362388
tt1958961,Lilyhammer,8,1,0.0321,-0.0392,45.38376021168944
tt1526318,Borgen,-1,-1,0.0126,-0.0537,48.64059930062018
tt1954347,Continuum,1,2,0.0369,-0.0463,42.957458532081226
tt1988386,Miss Fisher's Murder Mysteries,3,1,0.0389,-0.01,46.05604856437159
tt1909015,Undercover,2,1,0.0705,-0.1282,47.99972878979927
tt1836037,Longmire,-1,-1,0.058,-0.0705,43.8859514227124
tt2303687,Line of Duty,-1,-1,0.1085,-0.0916,49.66503307016676
tt2306299,Vikings,10,0,0.0182,-0.0156,49.90351746006533
tt2226342,Devious Maids,4,1,0.0378,-0.0178,43.19494697114994
tt2701582,Endeavour,3,1,0.0623,-0.0697,48.309172680038046
tt2193041,Beauty and the Beast,-1,-1,0.0698,0.0021,40.21177743975272
tt2528254,This Is England '90,-1,-1,0.0506,-0.021,43.32610400451332
tt2433738,Wentworth,-1,-1,0.0157,-0.0604,49.64126042271642
tt2300923,Go On,0,3,0.0025,-0.0042,43.29077925624594
tt1733785,The Bridge,4,1,0.0262,-0.0419,54.64872756712491
tt2930610,The Kitchen,0,3,0.0058,-0.0207,44.26849281787305
tt1442449,Spartacus,7,1,0.1052,-0.0482,58.28083658689756
tt2384811,Utopia,1,2,0.09,-0.0159,48.20118618201376
tt2149175,The Americans,5,0,0.0102,-0.0444,51.29993382050589
tt2356777,True Detective,-1,-1,0.0658,-0.0763,53.2340049787104
tt2480514,In the Flesh,-1,-1,0.0136,-0.03,42.91296151526667
tt2188671,Bates Motel,4,1,-0.0071,-0.0388,53.66315181417307
tt1883092,Generation War,5,0,0.0485,-0.0536,47.78906677844778
tt2262532,The Fosters,6,3,0.0786,-0.0529,41.01097533039224
tt2632424,The Originals,11,2,0.0322,0.0054,53.52745187928358
tt2396135,Shetland,3,1,0.0653,-0.0573,41.75547416391995
tt2183641,Ripper Street,3,1,0.0814,-0.0182,46.54261413381165
tt1882928,Midnight Diner,0,3,-0.0089,-0.0709,41.54231227868672
tt3865236,Into the Badlands,-1,-1,0.0496,-0.0833,43.10138963211346
tt2164430,A Young Doctor's Notebook,9,3,0.0293,-0.0623,42.514251616701145
tt2375692,Black Sails,2,1,0.0517,0.0035,53.16974708207185
tt2006421,Grand Hotel,4,1,0.0275,-0.028,44.19488581527988
tt2661044,The 100,1,2,0.0133,-0.0032,42.55576658968402
tt2294189,The Fall,3,1,0.0322,-0.0804,41.1016022863853
tt2660806,Mom,0,3,0.0272,-0.0021,42.59467045505568
tt2654580,Almost Human,-1,-1,0.0661,-0.0791,44.54744980046217
tt1973692,Rita,0,3,0.0658,-0.0189,41.34088248768194
tt2399776,Don't Ever Wipe Tears Without Gloves,-1,-1,0.0439,0.0038,40.37516695397268
tt2290891,El Kebeer Awi,0,3,0.0225,-0.0556,42.754327997048826
tt2699128,The Leftovers,1,2,0.0031,-0.0372,47.3314453863917
tt3281796,Power,8,1,0.0657,-0.0578,41.74431385778495
tt2628232,Penny Dreadful,11,2,0.013,0.0629,52.753070854727234
tt3069894,Shtisel,-1,-1,0.0483,-0.0167,44.18980512719792
tt2234222,Orphan Black,1,2,0.0776,-0.0506,53.03351492811863
tt3006802,Outlander,-1,-1,0.0082,0.0005,51.58249068969452
tt2372220,The White Queen,10,0,0.0638,-0.0313,41.30923958031448
tt0436992,Doctor Who,1,2,0.0395,0.025,42.73076095652276
tt2543328,TURN: Washington's Spies,5,0,0.083,-0.0802,45.33447230340508
tt2296682,Dracula,11,2,-0.0199,0.0612,42.24135935965065
tt2137109,Masters of Sex,-1,-1,0.0109,-0.0045,43.29544804593258
tt2275990,The Bletchley Circle,3,1,0.047,-0.0589,41.26066172365776
tt2543312,Halt and Catch Fire,-1,-1,0.0442,-0.0768,46.94985020087511
tt3032476,Better Call Saul,-1,-1,0.0226,-0.0673,61.67894032937555
tt2442560,Peaky Blinders,7,1,0.0348,-0.0515,58.959976051000176
tt3502248,Bosch,3,1,0.0725,-0.0727,53.90706238597146
tt2407574,My Mad Fat Diary,-1,-1,0.0067,0.0432,46.916690613190696
tt2802850,Fargo,-1,-1,0.0347,-0.0669,53.43711839218997
tt2616280,Derek,9,3,0.0094,-0.0642,50.96564022229547
tt2189461,Marco Polo,10,0,0.0168,-0.028,48.99023781496209
tt3749900,Gotham,-1,-1,0.0692,-0.0503,49.6409804811589
tt2044128,Bref,0,3,0.0263,-0.0623,42.43643439436504
tt3487382,Forever,-1,-1,0.0504,0.0022,48.58975063945128
tt3489184,Constantine,-1,-1,0.0576,-0.0255,40.81285787092853
tt2578560,Broad City,-1,-1,-0.0126,-0.0458,43.79006601636485
tt3501584,iZombie,-1,-1,0.0149,-0.0406,47.28222213542138
tt3148266,12 Monkeys,1,2,0.0543,0.0127,47.33258129891264
tt3469052,My Love From Another Star,1,2,0.0244,-0.0105,46.01594986163708
tt2937900,The Knick,9,3,0.0337,0.0047,51.27389559694845
tt3205802,How to Get Away with Murder,-1,-1,0.0647,-0.0995,47.439852168762044
tt2049116,Gomorrah,7,1,0.0714,-0.0341,50.732484712629
tt3228420,You're the Worst,0,3,0.0178,-0.0319,43.40226618851977
tt3428912,Happy Valley,3,1,0.0708,-0.002,53.98291189370424
tt2155025,Please Like Me,0,3,0.0576,-0.0345,42.72264094929341
tt3566726,Jane the Virgin,0,3,0.0263,-0.014,43.58875691208022
tt4201628,Pinocchio,-1,-1,0.0566,-0.1023,42.01013384809636
tt2431438,Sense8,1,2,0.016,-0.0594,50.63424159422604
tt4284216,Healer,2,1,0.0619,-0.0647,44.90678030404792
tt3556920,Wolf Hall,10,0,0.0427,-0.0135,41.38138717085038
